2025-12-15 20:03:28,957 | INFO | main | main | Started Bank Application
2025-12-15 21:28:17,355 | INFO | login | login_validation | Connection with database is Open
2025-12-15 21:28:17,357 | INFO | login | login_validation | Connection with database is closed
2025-12-15 21:28:17,357 | INFO | login | login_validation | USer : sunitapatel4281@gmail.com logged in sccussfully
2025-12-15 21:28:17,357 | INFO | login | login_validation | Login Sccussfull
2025-12-15 21:28:19,126 | INFO | main | main | User withdrawing Money
2025-12-15 21:28:19,126 | INFO | operations | money_withdraw |  ==== Entered Withdraw Money ==== 
2025-12-15 21:29:10,234 | INFO | main | main | Starting login attempt
2025-12-15 21:29:17,826 | INFO | login | login_validation | Entered login Validation
2025-12-15 21:29:21,189 | INFO | login | login_validation | Connection with database is Open
2025-12-15 21:29:21,190 | INFO | login | login_validation | Connection with database is closed
2025-12-15 21:29:21,190 | INFO | login | login_validation | USer : sunitapatel4281@gmail.com logged in sccussfully
2025-12-15 21:29:21,191 | INFO | login | login_validation | Login Sccussfull
2025-12-15 21:29:22,630 | INFO | main | main | User Depositing Money
2025-12-15 21:29:22,631 | INFO | operations | money_deposit |  ==== Entered Deposit Money ==== 
2025-12-15 21:29:22,632 | INFO | valid | check_money |  ==== Entered Money Validation ==== 
2025-12-15 21:29:24,514 | INFO | valid | check_money | Money Validation confirmed
2025-12-15 21:29:24,514 | INFO | operations | money_deposit | Quering to database
2025-12-15 21:29:24,515 | INFO | operations | money_deposit | Operation Performed
2025-12-15 21:29:24,517 | INFO | operations | money_deposit | Connection with database is closed
2025-12-15 21:29:24,517 | INFO | operations | money_deposit | User Desposited : ₹10000
2025-12-15 21:29:25,805 | INFO | main | main | User Entering Account Details
2025-12-15 21:29:25,805 | INFO | operations | account_detail |  ==== Entered Account Details ==== 
2025-12-15 21:29:25,807 | INFO | operations | account_detail | Connection with database is closed
2025-12-15 21:29:25,807 | INFO | operations | account_detail | Account fetched Sccussfully
2025-12-15 21:31:00,734 | INFO | main | main | Started Bank Application
2025-12-15 21:31:00,734 | INFO | main | main | Loading Database
2025-12-15 21:31:02,207 | INFO | main | main | Starting login attempt
2025-12-15 21:31:09,735 | INFO | login | login_validation | Entered login Validation
2025-12-15 21:31:12,644 | INFO | login | login_validation | Connection with database is Open
2025-12-15 21:31:12,644 | INFO | login | login_validation | Connection with database is closed
2025-12-15 21:31:12,645 | INFO | login | login_validation | USer : sunitapatel4281@gmail.com logged in sccussfully
2025-12-15 21:31:12,645 | INFO | login | login_validation | Login Sccussfull
2025-12-15 21:31:13,793 | INFO | main | main | User withdrawing Money
2025-12-15 21:31:13,794 | INFO | operations | money_withdraw |  ==== Entered Withdraw Money ==== 
2025-12-15 21:31:13,795 | INFO | valid | check_money |  ==== Entered Money Validation ==== 
2025-12-15 21:31:17,655 | WARNING | valid | check_money | User entered negative value.
2025-12-15 21:31:22,478 | INFO | valid | check_money | Money Validation confirmed
2025-12-15 21:31:22,478 | INFO | operations | money_withdraw | Quering to database
2025-12-15 21:31:22,479 | WARNING | operations | money_withdraw | Something went wrong with database.
2025-12-15 21:31:22,479 | INFO | operations | money_withdraw | Connection with database is closed
2025-12-15 21:31:22,479 | INFO | operations | money_withdraw | User Withdrawn : ₹123456475
2025-12-15 21:32:38,591 | INFO | main | main | Started Bank Application
2025-12-15 21:32:38,591 | INFO | main | main | Loading Database
2025-12-15 21:32:39,582 | INFO | main | main | Starting login attempt
2025-12-15 21:32:52,662 | INFO | login | login_validation | Entered login Validation
2025-12-15 21:32:58,301 | INFO | login | login_validation | Connection with database is Open
2025-12-15 21:32:58,302 | INFO | login | login_validation | Connection with database is closed
2025-12-15 21:32:58,302 | INFO | login | login_validation | USer : sunitapatel4281@gmail.com logged in sccussfully
2025-12-15 21:32:58,302 | ERROR | main | main | User Typed incorrect Password. Login Attempt failed.
2025-12-15 21:33:00,802 | INFO | main | main | Starting login attempt
2025-12-15 21:33:25,533 | INFO | login | login_validation | Entered login Validation
2025-12-15 21:33:30,050 | INFO | login | login_validation | Connection with database is Open
2025-12-15 21:33:30,052 | INFO | login | login_validation | Connection with database is closed
2025-12-15 21:33:30,052 | INFO | login | login_validation | USer : sunitapatel4281@gmail.com logged in sccussfully
2025-12-15 21:33:30,052 | INFO | login | login_validation | Login Sccussfull
2025-12-15 21:33:32,714 | INFO | main | main | User withdrawing Money
2025-12-15 21:33:32,715 | INFO | operations | money_withdraw |  ==== Entered Withdraw Money ==== 
2025-12-15 21:33:32,716 | INFO | valid | check_money |  ==== Entered Money Validation ==== 
2025-12-15 21:33:38,657 | INFO | valid | check_money | Money Validation confirmed
2025-12-15 21:33:38,658 | INFO | operations | money_withdraw | Quering to database
2025-12-15 21:33:38,658 | WARNING | operations | money_withdraw | USer is trying to withdraw negative balance.
2025-12-15 21:33:38,659 | WARNING | operations | money_withdraw | Something went wrong with database.
2025-12-15 21:33:38,659 | INFO | operations | money_withdraw | Connection with database is closed
2025-12-15 21:33:38,659 | INFO | operations | money_withdraw | User Withdrawn : ₹9999999
2025-12-15 22:05:21,732 | INFO | main | main | Started Bank Application
2025-12-15 22:05:21,732 | INFO | main | main | Loading Database
2025-12-15 22:05:29,242 | INFO | valid | date_of_birth |  ==== Entered Date of Birth Verification ==== 
2025-12-15 22:05:56,583 | INFO | main | main | Started Bank Application
2025-12-15 22:05:56,583 | INFO | main | main | Loading Database
2025-12-15 22:06:02,432 | INFO | valid | date_of_birth |  ==== Entered Date of Birth Verification ==== 
2025-12-15 22:08:34,021 | INFO | main | main | Started Bank Application
2025-12-15 22:08:34,021 | INFO | main | main | Loading Database
2025-12-15 22:08:38,855 | INFO | valid | date_of_birth |  ==== Entered Date of Birth Verification ==== 
2025-12-15 22:08:40,763 | WARNING | valid | date_of_birth | Invalid Date format.
2025-12-15 22:08:46,487 | INFO | valid | date_of_birth | Date of Birth Verified Successfully.
2025-12-15 22:08:46,487 | INFO | valid | gender_verification |  ==== Entered Gender Verification ==== 
2025-12-15 22:08:48,883 | INFO | valid | gender_verification | Invalid Gender
2025-12-15 22:08:50,840 | INFO | valid | gender_verification | Gender Verified.
2025-12-15 22:08:50,840 | INFO | valid | email_id |  ==== Entered Email Id verification ==== 
2025-12-15 22:08:52,928 | WARNING | valid | email_id | Invalid email address
2025-12-15 22:09:00,250 | WARNING | valid | email_id | Invalid email address
2025-12-15 22:09:06,289 | INFO | valid | email_id | Email Address verified.
2025-12-15 22:09:06,289 | INFO | valid | phone |  ==== Entered phone Number Verification ==== 
2025-12-15 22:09:11,970 | WARNING | valid | phone | Invalid Phone Number.
2025-12-15 22:09:14,752 | WARNING | valid | phone | Invalid Phone Number.
2025-12-15 22:09:19,094 | INFO | valid | phone | Phone Number Verified.
2025-12-15 22:26:43,565 | INFO | main | main | Started Bank Application
2025-12-15 22:26:43,566 | INFO | main | main | Loading Database
2025-12-15 22:26:50,036 | INFO | valid | date_of_birth |  ==== Entered Date of Birth Verification ==== 
2025-12-15 22:26:56,668 | INFO | valid | date_of_birth | Date of Birth Verified Successfully.
2025-12-15 22:26:56,668 | INFO | valid | gender_verification |  ==== Entered Gender Verification ==== 
2025-12-15 22:26:58,115 | INFO | valid | gender_verification | Gender Verified.
2025-12-15 22:26:58,115 | INFO | valid | email_id |  ==== Entered Email Id verification ==== 
2025-12-15 22:27:08,329 | INFO | valid | email_id | Email Address verified.
2025-12-15 22:27:08,330 | INFO | valid | phone |  ==== Entered phone Number Verification ==== 
2025-12-15 22:27:13,790 | INFO | valid | phone | Phone Number Verified.
2025-12-15 22:27:32,689 | INFO | main | main | Starting login attempt
2025-12-15 22:27:42,771 | INFO | login | login_validation | Entered login Validation
2025-12-15 22:27:42,771 | INFO | login | login_validation | Connection with database is Open
2025-12-15 22:27:42,772 | INFO | login | login_validation | Connection with database is closed
2025-12-15 22:27:46,082 | INFO | login | login_validation | USer : mayankpatel2002@gmail.com logged in sccussfully
2025-12-15 22:27:46,354 | ERROR | main | main | User Typed incorrect Password. Login Attempt failed.
2025-12-15 22:28:29,984 | INFO | main | main | Starting login attempt
2025-12-15 22:28:40,197 | INFO | login | login_validation | Entered login Validation
2025-12-15 22:28:40,198 | INFO | login | login_validation | Connection with database is Open
2025-12-15 22:28:40,199 | INFO | login | login_validation | Connection with database is closed
2025-12-15 22:28:43,728 | INFO | login | login_validation | USer : mayankpatel2002@gmail.com logged in sccussfully
2025-12-15 22:28:43,999 | INFO | login | login_validation | Login Sccussfull
2025-12-15 22:29:16,048 | INFO | main | main | Starting login attempt
2025-12-15 22:29:24,050 | INFO | login | login_validation | Entered login Validation
2025-12-15 22:29:24,051 | INFO | login | login_validation | Connection with database is Open
2025-12-15 22:29:24,052 | INFO | login | login_validation | Connection with database is closed
2025-12-15 22:29:26,666 | INFO | login | login_validation | USer : mayankpatel@gmail.com logged in sccussfully
